InitDuration,124.8477612
119.99,
122.79,
123.91,
133.81,
131.92,
128.71,
130.5,
129.77,
119.63,
124.55,
126.37,
133.48,
130.02,
124.45,
125.09,
125.04,
130.41,
132.07,
123.03,
129.24,
129.89,
129.9,
122.01,
122.5,
119.14,
133.67,
130.28,
131.03,
122.94,
121.18,
124.79,
126.81,
129.24,
127,
118.13,
120.87,
125.7,
126.03,
124.99,
126.72,
122.1,
121.17,
119.37,
126.9,
118.09,
128.15,
120.57,
124.7,
127.99,
123.49,
125.8,
124.3,
122.96,
122.94,
126.75,
123.16,
125.18,
115.59,
122.92,
124.52,
126.52,
119.55,
121.35,
119.48,
119.95,
113.06,
120.64,